station,a_teen,a_college,a_adult,a_mid,a_old,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
CHAUNCEY St,0,6,10,1,1,0,0,9,5,0,4,3,14,1,18
CHRISTOPHER St-SHERIDAN SQ.,5,117,115,19,6,1,16,66,76,15,89,57,206,0,263
CHURCH Av,2,104,171,88,5,0,23,192,110,3,44,81,290,1,372
CITY HALL,1,4,4,0,0,0,5,1,1,0,2,3,6,0,9
CLARK St,2,12,4,3,0,0,2,5,7,1,6,6,15,0,21
CLASSON Av,0,12,6,2,1,0,4,8,5,0,4,5,16,0,21
CLEVELAND St,0,1,0,1,0,0,0,1,1,0,0,0,2,0,2
CLINTON-WASHINGTON Avs,0,60,95,27,2,0,15,36,55,5,73,63,121,0,184
CORTELYOU Rd,1,5,5,0,0,0,0,6,2,0,3,5,6,0,11
CORTLANDT St,0,20,29,6,3,2,7,11,27,1,10,9,48,1,58
COURT SQUARE,0,13,26,9,0,0,6,6,28,3,5,13,35,0,48
COURT St,0,1,6,4,1,0,1,4,3,1,3,7,5,0,12
CRESCENT St,1,14,20,16,2,0,0,5,42,3,3,9,44,0,53
CYPRESS Av,2,34,35,21,3,0,1,25,65,1,3,11,84,0,95
CYPRESS HILLS,0,2,0,2,0,0,0,1,2,0,1,1,3,0,4
DEKALB Av,13,305,505,158,23,3,138,190,278,35,360,317,683,4,1004
DELANCEY St,16,412,499,172,22,6,157,245,329,36,352,327,794,4,1125
DITMARS BLVD.-ASTORIA,3,75,78,15,0,0,11,16,93,12,39,32,139,0,171
DITMAS Av,0,6,6,0,0,0,0,1,4,0,7,2,10,0,12
DYRE Av-EASTCHESTER,0,0,2,1,1,0,1,3,0,0,0,1,3,0,4
EAST 105 St,0,3,4,2,0,0,0,6,3,0,0,1,8,0,9
EAST 143 St-ST. MARYS St,0,5,6,3,0,0,0,5,9,0,0,0,14,0,14
EAST 149 St,2,77,115,51,6,0,11,68,158,2,12,26,224,1,251
EAST 174 St,0,35,84,39,7,0,1,85,73,0,7,14,151,1,166
EAST 177 St-PARKCHESTER,3,86,87,64,5,1,23,85,129,4,4,35,211,0,246
