station,a_teen,a_college,a_adult,a_mid,a_old,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
"A,C,E",127,2990,4256,1300,195,42,623,1917,4107,511,1700,2218,6658,24,8900
"A,C,F",34,654,532,193,18,9,278,469,338,76,266,406,1022,8,1436
"A,C,G",3,168,248,60,8,1,36,179,136,20,115,141,344,2,487
"A,S",0,13,17,14,2,0,1,19,18,2,7,6,41,0,47
ALABAMA AVENUE,0,10,22,2,1,1,0,25,8,0,1,3,32,0,35
ALLERTON AVENUE,2,34,64,43,5,0,5,70,63,2,8,19,129,0,148
AQUEDUCT-NORTH CONDUIT AVE.,0,4,4,6,0,0,4,4,3,2,1,2,12,0,14
AQUEDUCT-RACETRACK,0,12,46,73,19,2,38,56,36,9,10,32,119,0,151
ASTOR PLACE,1,41,20,10,0,0,7,13,25,4,23,13,59,0,72
ASTORIA BLVD.,1,54,96,20,4,0,14,15,89,22,36,24,152,0,176
ATLANTIC AVENUE,15,436,562,177,26,3,66,590,305,51,206,338,879,4,1221
"AVENUE ""H""",0,8,19,7,1,0,5,9,9,1,11,10,25,0,35
"AVENUE ""I""",0,2,0,2,0,0,0,0,2,2,0,0,4,0,4
"AVENUE ""J""",0,6,21,6,0,0,6,7,8,0,12,5,28,0,33
"AVENUE ""M""",0,12,55,30,3,1,9,17,25,3,45,37,62,1,100
"AVENUE ""N""",0,0,1,2,0,0,1,0,0,1,1,1,2,0,3
"AVENUE ""P""",0,3,3,2,0,0,1,1,0,1,5,2,5,1,8
"AVENUE ""U""",0,17,39,17,5,0,7,9,21,6,35,22,55,1,78
"AVENUE ""X""",0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"B,C",12,228,242,72,10,1,64,174,165,15,145,152,408,4,564
"B,D",14,543,892,382,44,1,44,769,906,54,103,193,1679,5,1877
"B,D,E",1,15,26,5,2,0,5,14,20,1,9,15,34,0,49
"B,D,F",27,492,565,164,24,5,189,241,504,77,259,363,910,2,1275
"B,D,F,M",20,694,845,272,39,11,259,321,744,64,479,508,1363,7,1878
"B,Q",27,443,759,434,31,3,115,369,362,83,768,480,1208,12,1700
"B,Q,R",11,202,265,103,11,3,119,159,126,26,159,216,374,2,592
"B,Q,S",2,55,79,36,3,0,9,97,24,2,43,44,131,0,175
BAY 50 STREET,0,2,15,12,1,0,9,5,10,0,6,8,22,0,30
BAY PARKWAY,0,31,69,42,1,1,43,10,47,4,38,52,90,1,143
BAY RIDGE AVENUE,0,8,16,21,1,0,8,5,18,2,13,12,34,0,46
BAYCHESTER AVENUE,0,19,29,8,1,0,0,41,16,0,0,8,49,0,57
BEACH 105 STREET,0,1,1,0,0,0,0,1,1,0,0,0,2,0,2
BEACH 25 STREET,1,22,24,11,0,0,1,38,13,3,3,12,46,0,58
BEACH 36 STREET,0,11,16,4,0,0,0,19,10,1,1,3,28,0,31
BEACH 44 STREET,1,6,6,8,0,0,0,12,5,1,3,6,14,1,21
BEACH 60 STREET,0,16,29,16,4,0,1,45,12,6,3,5,62,0,67
BEACH 67 STREET,1,56,69,26,2,3,2,78,48,8,16,37,118,0,155
BEACH 90 STREET,0,1,2,1,0,0,0,3,0,0,1,0,4,0,4
BEACH 98 STREET,0,8,10,12,2,0,0,14,14,1,4,6,27,0,33
BEDFORD AVENUE,2,130,179,28,2,0,30,46,84,9,172,91,247,3,341
BEDFORD PK. BLVD.,0,8,15,2,0,0,0,4,19,1,1,4,21,0,25
BEDFORD PK. BLVD.-LEHMAN COLLEGE,3,53,111,62,3,0,3,52,166,4,7,17,215,0,232
BEDFORD-NOSTRAND AVENUES,1,51,81,19,2,0,11,31,40,4,69,58,96,1,155
BERGEN STREET,0,20,45,14,3,1,6,21,27,5,22,25,57,0,82
BEVERLEY ROAD,0,3,4,1,0,0,0,3,3,0,2,3,5,0,8
BEVERLY ROAD,0,10,36,5,0,1,1,32,13,1,3,7,44,0,51
BLEECKER STREET,14,302,302,110,17,3,81,130,268,20,243,186,558,1,745
BOROUGH HALL,2,38,55,25,4,1,9,54,27,4,29,31,93,0,124
BOTANIC GARDEN,1,13,3,0,0,0,0,9,5,0,3,5,12,0,17
